timestamp,temperatura,pm2_5,co,no2,o3
2025-11-09 20:15:06.660445,18.69,,,,
2025-11-09 20:36:56.293450,18.14,,,,
2025-11-09 20:51:57.328137,18.1,,,,
2025-11-09 23:17:24.987660,18.65,,,,
2025-11-09 23:24:55.721452,18.65,,,,
2025-11-09 23:32:26.480197,18.65,,,,
2025-11-09 23:39:57.201417,18.65,,,,
2025-11-09 23:47:28.059578,18.66,,,,
2025-11-09 23:54:58.886672,18.66,,,,
2025-11-10 00:02:29.610984,18.65,,,,
2025-11-10 00:10:00.485739,18.65,,,,
2025-11-10 00:17:38.471583,18.65,,,,
2025-11-10 00:25:10.402887,18.65,,,,
2025-11-10 00:32:42.734440,18.65,,,,
2025-11-10 00:40:14.322621,18.11,,,,
2025-11-10 00:47:45.081724,18.11,,,,
2025-11-10 00:55:16.049456,18.1,,,,
2025-11-10 01:02:46.746177,18.1,,,,
2025-11-10 01:10:17.492877,18.1,,,,
2025-11-10 01:17:48.212472,18.1,,,,
2025-11-10 01:25:18.947645,18.1,,,,
2025-11-10 01:32:49.865980,18.1,,,,
2025-11-10 01:40:20.622835,18.1,,,,
2025-11-10 01:47:51.368651,18.1,,,,
2025-11-10 01:55:22.094542,18.1,,,,
2025-11-10 02:02:53.170198,18.1,,,,
2025-11-10 02:10:23.911870,18.1,,,,
2025-11-10 02:17:54.634497,18.1,,,,
2025-11-10 02:25:25.374753,18.1,,,,
2025-11-10 02:32:56.108013,18.1,,,,
2025-11-10 02:40:26.816949,18.1,,,,
2025-11-10 02:47:57.534744,18.1,,,,
2025-11-10 02:55:28.260461,18.1,,,,
2025-11-10 03:02:59.030164,18.1,,,,
2025-11-10 03:10:29.738031,18.1,,,,
2025-11-10 03:18:00.544425,14.96,,,,
2025-11-10 03:25:31.294393,14.96,,,,
2025-11-10 03:33:02.092689,14.96,,,,
2025-11-10 03:40:32.805725,14.96,,,,
2025-11-10 03:48:03.742386,10.19,,,,
2025-11-10 03:55:34.468151,10.19,,,,
2025-11-10 04:03:05.211988,10.96,,,,
2025-11-10 04:10:35.904600,10.96,,,,
2025-11-10 04:18:06.650010,10.96,,,,
2025-11-10 04:25:37.387447,10.96,,,,
2025-11-10 04:33:08.109052,10.96,,,,
2025-11-10 04:40:38.816225,10.96,,,,
2025-11-10 04:48:09.542093,10.96,,,,
2025-11-10 04:55:46.179672,9.9,,,,
2025-11-10 05:03:16.909327,9.9,,,,
2025-11-10 05:10:47.609258,11.96,,,,
2025-11-10 05:18:18.357334,11.96,,,,
2025-11-10 05:25:49.100978,11.96,,,,
2025-11-10 05:33:19.811491,11.96,,,,
2025-11-10 05:40:50.559513,11.96,,,,
2025-11-10 05:48:21.313706,11.96,,,,
2025-11-10 17:17:01.075809,17.61,,,,
2025-11-10 17:24:32.428794,17.61,,,,
2025-11-10 17:32:03.184712,17.61,,,,
2025-11-10 17:39:33.939317,17.61,,,,
2025-11-10 17:47:05.152559,17.55,,,,
2025-11-10 17:54:35.973228,17.55,,,,
2025-11-10 18:09:37.635016,16.99,,,,
2025-11-10 18:44:08.588833,17.0,,,,
2025-11-10 18:52:01.232090,17.0,,,,
2025-11-10 18:55:56.604017,16.44,5.09,,,
2025-11-10 19:03:28.189900,16.44,5.09,,,
2025-11-10 19:11:00.035099,16.42,5.09,,,
2025-11-10 19:18:32.102751,16.42,5.09,,,
2025-11-10 19:26:03.886513,16.42,5.09,,,
2025-11-10 19:33:34.919712,16.42,4.98,,,
2025-11-10 19:41:05.777298,16.42,4.98,,,
2025-11-10 19:48:36.799129,15.88,4.98,,,
2025-11-13 22:08:31.808016,21.99,6.3,,,
2025-11-13 22:09:12.846066,21.99,6.3,,,
2025-11-13 22:11:53.243175,21.99,6.3,122.72,3.96,59.38
2025-11-13 22:16:29.957815,19.62,6.3,122.72,3.96,59.38
2025-11-13 22:18:38.103982,19.62,6.3,122.72,3.96,59.38
2025-11-13 22:19:48.399722,19.62,6.3,122.72,3.96,59.38
2025-11-13 22:20:31.912071,19.62,6.3,122.72,3.96,59.38
2025-11-13 22:25:32.746349,19.62,6.3,122.72,3.96,59.38
2025-11-13 22:30:33.600459,19.24,6.3,122.72,3.96,59.38
2025-11-13 22:35:34.424859,19.24,6.3,122.72,3.96,59.38
2025-11-13 22:40:35.305686,18.31,6.46,127.61,4.28,55.89
2025-11-13 22:45:36.132982,18.31,6.46,127.61,4.28,55.89
2025-11-13 22:50:37.012493,20.88,6.46,127.61,4.28,55.89
2025-11-13 22:55:37.782994,20.88,6.46,127.61,4.28,55.89
2025-11-13 23:00:38.641748,20.88,6.46,127.61,4.28,55.89
2025-11-13 23:05:39.540273,17.5,6.46,127.61,4.28,55.89
2025-11-13 23:10:40.350609,17.5,6.46,127.61,4.28,55.89
2025-11-13 23:15:41.383561,17.5,6.46,127.61,4.28,55.89
2025-11-13 23:20:42.401068,17.5,6.46,127.61,4.28,55.89
2025-11-13 23:25:43.465709,17.34,6.46,127.61,4.28,55.89
